% fringe_data_nov02.txt
%
% Reformated but otherwise unadjusted version of Margie Weiler's
% 19 November 2002 fringe model parameters.  This is based on
% the September 2002 fringe data except Margie has added amplitude
% and phase values for previously "bad" channels.
%
% Last updated: Scott Hannon, 20 November 2002
%
% ID  LMID M  ind   freq     amplitude      phase        period        beta
%---- ---- -- --- -------- ------------- ------------- ------------- ---------
    1 2377 12 130  649.548 6.7000000e-02 7.0902996e+02 8.5100000e-01 9.200e-05
    2 2376 12 129  649.786 6.7000000e-02 7.0907496e+02 8.5100000e-01 9.200e-05
    3 2375 12 128  650.025 5.2000000e-02 7.0905096e+02 8.5100000e-01 9.200e-05
    4 2374 12 127  650.264 5.2000000e-02 7.0902096e+02 8.5100000e-01 9.200e-05
    5 2373 12 126  650.503 6.1000000e-02 7.0899096e+02 8.5100000e-01 9.200e-05
    6 2372 12 125  650.742 7.2000000e-02 7.0899096e+02 8.5100000e-01 9.200e-05
    7 2371 12 124  650.981 6.7000000e-02 7.0901496e+02 8.5100000e-01 9.200e-05
    8 2370 12 123  651.221 5.7000000e-02 7.0899796e+02 8.5100000e-01 9.200e-05
    9 2369 12 122  651.460 6.3000000e-02 7.0897596e+02 8.5100000e-01 9.200e-05
   10 2368 12 121  651.700 6.3000000e-02 7.0894196e+02 8.5100000e-01 9.200e-05
   11 2367 12 120  651.940 7.4000000e-02 7.0893996e+02 8.5100000e-01 9.200e-05
   12 2366 12 119  652.181 6.7600000e-02 7.0892823e+02 8.5100000e-01 9.200e-05
   13 2365 12 118  652.421 6.8400000e-02 7.0892003e+02 8.5100000e-01 9.200e-05
   14 2364 12 117  652.662 6.5000000e-02 7.0891096e+02 8.5100000e-01 9.200e-05
   15 2363 12 116  652.903 6.7000000e-02 7.0890096e+02 8.5100000e-01 9.200e-05
   16 2362 12 115  653.144 6.9000000e-02 7.0890196e+02 8.5100000e-01 9.200e-05
   17 2361 12 114  653.385 5.6000000e-02 7.0890796e+02 8.5100000e-01 9.200e-05
   18 2360 12 113  653.626 6.5000000e-02 7.0887096e+02 8.5100000e-01 9.200e-05
   19 2359 12 112  653.868 6.1000000e-02 7.0888596e+02 8.5100000e-01 9.200e-05
